param U := 100;
param N := 9;
param E := 18;
param S := 100;

param	A: 1 2 3 4 5 6 7 8 9:=
		81	262435769043.02
		82	432027571490.82
		83	474723861567.49
		84	331544487163.28
		85	421238464053.49
		86	327115624103.07
		87	242090496596.16
		88	384968820244.76
		89	186933012659.34
		90	189909357480.05
		91	236903065199.07
		92	246522935119.86
		93	261003170938.63
		94	234276189691.94
		95	270927778269.54
		96	442478502165.89
		97	119438713316.08
		98	158269882536.67
		99	359485835770.81
		100	416922846009.43;

param	S_C :=
		1	749494754.63
		2	1278226952.86
		3	1326840536.14
		4	1354299613.41
		5	1626842163.68
		6	1778339109.05
		7	794816177.56
		8	908750211.69
		9	599082784.00
		10	768981420.32
		11	2062927582.51
		12	1792328955.92
		13	1167507667.02
		14	1338060874.02
		15	2402899690.34
		16	2300528652.79
		17	1355881084.04
		18	1554879958.37
		19	2155127023.14
		20	2378091996.92
		21	1567127109.83
		22	1560545682.62
		23	1411890469.63
		24	1397329912.77
		25	835953732.02
		26	1255000723.08
		27	2375545005.53
		28	1693620543.25
		29	1618690734.20
		30	2369053660.77
		31	1561579918.33
		32	2063188306.55
		33	1780239715.72
		34	505342629.31
		35	1505819304.46
		36	1876045629.34
		37	594931580.64
		38	1084336713.65
		39	1869662919.07
		40	2214328066.77
		41	656998586.95
		42	1314987850.02
		43	2331464398.55
		44	1104888209.65
		45	1428206223.67
		46	1931303143.14
		47	1080478109.70
		48	1971523763.72
		49	1300478204.02
		50	1125806971.18
		51	1236632535.60
		52	793539927.37
		53	1635203084.73
		54	2179955250.42
		55	596496125.97
		56	2179860850.47
		57	1799016573.10
		58	1440859394.59
		59	2451210437.79
		60	1806607928.99
		61	847426619.81
		62	1006181931.13
		63	2281533464.30
		64	641075192.56
		65	1240823841.16
		66	1704996135.39
		67	2468484740.83
		68	2336070629.00
		69	1065275226.54
		70	540690998.35
		71	1926190727.48
		72	2438994374.51
		73	790072033.06
		74	514419269.86
		75	1793416103.34
		76	2472180647.78
		77	2359254688.96
		78	1948244929.91
		79	2260675096.79
		80	541920654.88
		81	1730035513.35
		82	553278184.92
		83	1949963209.21
		84	1553647708.61
		85	2322564542.03
		86	1050594418.90
		87	595468398.65
		88	574061334.73
		89	878364752.19
		90	1807900884.71
		91	2090056457.79
		92	1502841241.94
		93	1963336938.55
		94	2436555030.45
		95	1450091855.72
		96	1588052425.45
		97	2451872225.78
		98	2344111866.03
		99	1685948158.74
		100	2248802297.53;

param	S_T :=
		1	92.36
		2	75.54
		3	58.94
		4	90.17
		5	98.59
		6	75.85
		7	62.86
		8	56.56
		9	64.94
		10	68.66
		11	82.81
		12	84.33
		13	45.06
		14	75.03
		15	83.13
		16	26.07
		17	99.66
		18	66.28
		19	87.54
		20	74.07
		21	62.19
		22	99.12
		23	21.52
		24	39.94
		25	84.48
		26	56.98
		27	45.11
		28	22.80
		29	30.69
		30	47.78
		31	38.34
		32	48.86
		33	92.97
		34	52.26
		35	22.02
		36	64.07
		37	64.62
		38	42.84
		39	93.63
		40	35.93
		41	73.93
		42	60.42
		43	31.91
		44	41.06
		45	29.42
		46	78.34
		47	95.43
		48	36.02
		49	78.62
		50	97.96
		51	69.52
		52	62.96
		53	93.21
		54	52.01
		55	56.20
		56	40.93
		57	55.17
		58	99.56
		59	43.10
		60	47.16
		61	23.49
		62	62.55
		63	31.39
		64	34.67
		65	67.15
		66	22.22
		67	27.29
		68	31.98
		69	39.06
		70	56.83
		71	52.92
		72	23.29
		73	74.39
		74	38.02
		75	68.61
		76	36.22
		77	46.24
		78	37.14
		79	39.15
		80	99.33
		81	60.87
		82	27.43
		83	73.79
		84	27.70
		85	68.42
		86	87.20
		87	59.52
		88	99.23
		89	47.07
		90	92.26
		91	25.19
		92	65.45
		93	83.48
		94	67.16
		95	34.44
		96	66.51
		97	74.09
		98	22.26
		99	89.10
		100	71.78;

param	S_H :=
		1	5667555.24
		2	8489017.25
		3	15534189.90
		4	18970084.99
		5	12968628.16
		6	13555074.01
		7	6005993.27
		8	8061434.13
		9	8269647.39
		10	22310946.38
		11	15142387.58
		12	5623690.10
		13	17059875.45
		14	23901449.33
		15	16773658.35
		16	16887360.16
		17	13226304.09
		18	16669373.00
		19	8581537.98
		20	17509008.37
		21	18897399.72
		22	18010876.21
		23	20170010.13
		24	17867192.55
		25	14631888.24
		26	15056570.88
		27	15248024.86
		28	5008511.24
		29	18666652.60
		30	20523424.12
		31	22193202.82
		32	24292985.70
		33	21494908.85
		34	19795168.75
		35	23288018.72
		36	13273285.48
		37	20978118.42
		38	23028884.28
		39	22040372.89
		40	13631820.80
		41	18880287.76
		42	13434457.15
		43	8432239.72
		44	8616076.02
		45	22333830.29
		46	8341195.90
		47	21744018.11
		48	11000795.86
		49	6777386.46
		50	6050287.96
		51	21795306.81
		52	20592063.94
		53	6577399.33
		54	5214500.04
		55	9590274.09
		56	11235474.61
		57	9177598.26
		58	10952453.04
		59	14210389.52
		60	17033543.97
		61	5208848.45
		62	13599845.49
		63	16128457.28
		64	23141744.38
		65	10381677.88
		66	22200096.27
		67	15571214.27
		68	7461522.86
		69	20372298.25
		70	24274938.74
		71	19038918.48
		72	22096250.37
		73	17710780.56
		74	14762997.45
		75	20387646.46
		76	16521145.31
		77	22948994.88
		78	12809232.97
		79	13749239.60
		80	9653702.82
		81	11379269.21
		82	11133252.15
		83	5168131.12
		84	15120408.73
		85	12597048.12
		86	19581700.17
		87	21940677.22
		88	12335069.51
		89	10758321.29
		90	13863311.14
		91	9760144.26
		92	6289145.41
		93	23451190.45
		94	24172488.99
		95	21510364.39
		96	24581014.86
		97	23340689.76
		98	10336169.03
		99	6742441.78
		100	21107099.87;

param	S_W :=
		1	0.37
		2	0.40
		3	0.99
		4	0.72
		5	0.51
		6	0.90
		7	0.89
		8	0.92
		9	0.47
		10	0.77
		11	0.35
		12	0.23
		13	0.56
		14	0.86
		15	0.92
		16	0.17
		17	0.97
		18	0.35
		19	0.68
		20	0.75
		21	0.25
		22	0.62
		23	0.86
		24	0.50
		25	0.99
		26	0.19
		27	0.88
		28	0.75
		29	0.41
		30	0.75
		31	0.51
		32	0.57
		33	0.62
		34	0.25
		35	0.76
		36	0.18
		37	0.21
		38	0.86
		39	0.34
		40	0.70
		41	0.26
		42	0.63
		43	0.74
		44	0.16
		45	0.90
		46	0.43
		47	0.54
		48	0.91
		49	0.66
		50	0.65
		51	0.02
		52	0.83
		53	0.82
		54	0.94
		55	0.03
		56	0.37
		57	0.98
		58	0.83
		59	0.54
		60	0.44
		61	0.09
		62	0.50
		63	0.88
		64	0.10
		65	0.56
		66	0.73
		67	0.14
		68	0.45
		69	0.37
		70	0.80
		71	0.86
		72	0.87
		73	0.69
		74	0.40
		75	0.40
		76	0.16
		77	0.44
		78	0.48
		79	0.26
		80	0.84
		81	0.75
		82	0.04
		83	0.65
		84	0.46
		85	0.73
		86	0.18
		87	0.17
		88	0.03
		89	0.34
		90	0.13
		91	0.74
		92	0.19
		93	0.91
		94	0.82
		95	0.68
		96	0.92
		97	0.13
		98	0.00
		99	0.97
		100	0.61;

param	U_N: 1 2 3 4 5 6 7 8 9:=
		1	 0 0 0 0 0 0 1 1 0
		2	 0 0 1 0 0 0 0 0 0
		3	 0 0 0 1 0 0 0 0 0
		4	 1 0 0 0 0 0 0 0 0
		5	 1 1 0 1 1 0 0 0 0
		6	 0 1 1 0 0 0 0 0 0
		7	 0 0 0 0 0 0 1 0 0
		8	 0 0 0 0 0 0 0 1 1
		9	 0 0 0 0 0 1 0 0 1
		10	 0 0 0 0 0 0 0 1 1
		11	 0 0 0 0 0 0 1 1 0
		12	 0 0 0 0 0 0 1 1 0
		13	 0 0 0 0 0 0 0 1 1
		14	 1 0 0 0 0 0 0 0 0
		15	 0 0 1 0 0 1 0 0 0
		16	 0 0 1 0 0 1 0 0 0
		17	 0 1 0 0 0 0 0 0 0
		18	 0 0 0 1 0 0 1 0 0
		19	 0 0 0 0 0 0 0 1 1
		20	 0 0 0 1 1 0 0 0 0
		21	 0 0 0 0 1 0 0 0 0
		22	 1 0 0 0 0 0 0 0 0
		23	 0 0 0 0 0 0 1 1 0
		24	 0 0 0 0 1 0 0 0 0
		25	 0 0 0 1 0 0 1 0 0
		26	 0 1 0 0 0 0 0 0 0
		27	 0 0 0 0 0 0 0 0 1
		28	 0 0 0 0 0 0 1 0 0
		29	 0 0 0 0 0 0 0 1 1
		30	 0 1 1 0 1 1 0 0 0
		31	 0 0 0 0 0 1 0 0 0
		32	 0 0 1 0 0 1 0 0 0
		33	 0 0 0 1 1 0 0 0 0
		34	 1 0 0 1 0 0 0 0 0
		35	 0 0 0 0 0 0 0 1 0
		36	 0 1 1 0 0 0 0 0 0
		37	 0 0 0 1 1 0 0 0 0
		38	 0 0 1 0 0 0 0 0 0
		39	 0 0 0 0 0 1 0 0 0
		40	 0 1 0 0 1 0 0 0 0
		41	 0 1 0 0 1 0 0 0 0
		42	 1 0 0 0 0 0 0 0 0
		43	 1 1 0 1 1 0 0 0 0
		44	 0 0 0 0 0 0 0 1 1
		45	 0 0 0 1 0 0 0 0 0
		46	 0 0 1 0 0 0 0 0 0
		47	 0 0 0 1 1 0 1 1 0
		48	 0 1 0 0 0 0 0 0 0
		49	 0 0 0 0 0 0 1 1 0
		50	 0 0 0 0 0 0 0 0 1
		51	 0 0 0 0 0 0 0 1 1
		52	 0 0 1 0 0 1 0 0 0
		53	 0 0 0 0 0 0 1 0 0
		54	 1 1 0 0 0 0 0 0 0
		55	 0 0 0 0 0 0 0 1 0
		56	 0 0 0 0 0 0 0 1 0
		57	 0 1 1 0 0 0 0 0 0
		58	 0 0 0 0 0 1 0 0 1
		59	 0 1 0 0 1 0 0 0 0
		60	 1 0 0 0 0 0 0 0 0
		61	 0 0 0 1 0 0 0 0 0
		62	 0 0 1 0 0 0 0 0 0
		63	 0 0 0 0 0 0 0 0 1
		64	 0 0 0 0 0 0 1 1 0
		65	 1 1 0 0 0 0 0 0 0
		66	 0 0 0 0 1 0 0 1 0
		67	 0 0 0 0 0 0 0 1 1
		68	 0 0 0 0 0 0 0 1 0
		69	 0 1 1 0 0 0 0 0 0
		70	 0 0 0 0 1 0 0 1 0
		71	 0 0 0 0 0 0 0 1 1
		72	 1 0 0 1 0 0 0 0 0
		73	 0 0 1 0 0 0 0 0 0
		74	 0 1 0 0 1 0 0 0 0
		75	 0 0 0 0 0 0 0 0 1
		76	 1 1 0 0 0 0 0 0 0
		77	 1 0 0 0 0 0 0 0 0
		78	 0 0 0 1 0 0 1 0 0
		79	 0 1 1 0 0 0 0 0 0
		80	 0 0 0 1 0 0 0 0 0
		81	 0 0 0 0 0 0 1 1 0
		82	 1 0 0 0 0 0 0 0 0
		83	 0 0 0 0 0 1 0 0 0
		84	 0 0 0 0 0 0 1 0 0
		85	 0 0 0 0 0 1 0 0 1
		86	 0 0 0 0 0 0 0 1 0
		87	 0 0 0 0 0 0 0 0 1
		88	 1 0 0 0 0 0 0 0 0
		89	 0 0 0 0 1 1 0 1 1
		90	 0 0 0 1 1 0 1 1 0
		91	 0 0 0 0 0 0 0 1 0
		92	 0 1 0 0 0 0 0 0 0
		93	 0 0 0 0 0 0 0 0 1
		94	 1 1 0 0 0 0 0 0 0
		95	 0 1 1 0 1 1 0 0 0
		96	 1 1 0 0 0 0 0 0 0
		97	 0 0 0 0 0 0 0 1 0
		98	 0 0 0 0 0 1 0 0 0
		99	 1 0 0 0 0 0 0 0 0
		100	 1 0 0 0 0 0 0 0 0;

param	U_S :=
		1	28
		2	34
		3	40
		4	81
		5	76
		6	97
		7	18
		8	90
		9	42
		10	99
		11	9
		12	83
		13	1
		14	97
		15	85
		16	10
		17	79
		18	82
		19	39
		20	70
		21	9
		22	7
		23	47
		24	22
		25	62
		26	39
		27	52
		28	37
		29	21
		30	90
		31	57
		32	52
		33	8
		34	6
		35	19
		36	67
		37	8
		38	63
		39	58
		40	79
		41	98
		42	75
		43	76
		44	91
		45	99
		46	60
		47	17
		48	36
		49	8
		50	48
		51	86
		52	17
		53	36
		54	13
		55	17
		56	40
		57	75
		58	69
		59	60
		60	32
		61	47
		62	75
		63	45
		64	98
		65	40
		66	55
		67	82
		68	55
		69	44
		70	69
		71	23
		72	74
		73	86
		74	63
		75	32
		76	42
		77	50
		78	23
		79	26
		80	25
		81	58
		82	5
		83	93
		84	55
		85	29
		86	59
		87	77
		88	30
		89	11
		90	85
		91	15
		92	20
		93	95
		94	30
		95	77
		96	61
		97	58
		98	62
		99	52
		100	80;



